cache_size,max_bagfile_size,storage_id,storage_config,compression,compression_queue,compression_threads,total_produced,total_recorded_count,drop_ratio,total_produced_size,total_recorded_size,disk_overhead,
0,0,mcap,mcap_default.yaml,,1,0,1000100,29558,0.970445,1100000000,585624992,-514375008,
0,0,mcap,mcap_nochunking.yaml,,1,0,1000100,779526,0.220552,1100000000,1114667075,14667075,
0,0,mcap,mcap_nocrc.yaml,,1,0,1000100,404615,0.595425,1100000000,1016374025,-83625975,
0,0,mcap,mcap_zstd.yaml,,1,0,1000100,425634,0.574409,1100000000,1020306781,-79693219,
0,0,sqlite3,sqlite_default.yaml,,1,0,1000100,170540,0.829477,1100000000,1028628480,-71371520,
0,0,sqlite3,sqlite_resilient.yaml,,1,0,1000100,201489,0.798531,1100000000,1033555968,-66444032,
100000,0,mcap,mcap_default.yaml,,1,0,1000100,232069,0.767954,1100000000,360059994,-739940006,
100000,0,mcap,mcap_nochunking.yaml,,1,0,1000100,931677,0.0684162,1100000000,1137033272,37033272,
100000,0,mcap,mcap_nocrc.yaml,,1,0,1000100,838144,0.16194,1100000000,995570490,-104429510,
100000,0,mcap,mcap_zstd.yaml,,1,0,1000100,934882,0.0652115,1100000000,1034869146,-65130854,
100000,0,sqlite3,sqlite_default.yaml,,1,0,1000100,964702,0.0353945,1100000000,1156542464,56542464,
100000,0,sqlite3,sqlite_resilient.yaml,,1,0,1000100,863478,0.136608,1100000000,1140248576,40248576,
1000000,0,mcap,mcap_default.yaml,,1,0,1000100,241910,0.758114,1100000000,401750572,-698249428,
1000000,0,mcap,mcap_nochunking.yaml,,1,0,1000100,898174,0.101916,1100000000,1132108331,32108331,
1000000,0,mcap,mcap_nocrc.yaml,,1,0,1000100,888600,0.111489,1100000000,1037050863,-62949137,
1000000,0,mcap,mcap_zstd.yaml,,1,0,1000100,960372,0.039724,1100000000,1044468918,-55531082,
1000000,0,sqlite3,sqlite_default.yaml,,1,0,1000100,975785,0.0243126,1100000000,1158336512,58336512,
1000000,0,sqlite3,sqlite_resilient.yaml,,1,0,1000100,957509,0.0425867,1100000000,1155387392,55387392,
10000000,0,mcap,mcap_default.yaml,,1,0,1000100,211552,0.788469,1100000000,411044671,-688955329,
10000000,0,mcap,mcap_nochunking.yaml,,1,0,1000100,919067,0.0810249,1100000000,1135179602,35179602,
10000000,0,mcap,mcap_nocrc.yaml,,1,0,1000100,913302,0.0867893,1100000000,1037002533,-62997467,
10000000,0,mcap,mcap_zstd.yaml,,1,0,1000100,944931,0.0551635,1100000000,1043948402,-56051598,
10000000,0,sqlite3,sqlite_default.yaml,,1,0,1000100,984550,0.0155484,1100000000,1159741440,59741440,
10000000,0,sqlite3,sqlite_resilient.yaml,,1,0,1000100,972298,0.0277992,1100000000,1157758976,57758976,
100000000,0,mcap,mcap_default.yaml,,1,0,1000100,445667,0.554378,1100000000,477837063,-622162937,
100000000,0,mcap,mcap_nochunking.yaml,,1,0,1000100,952420,0.0476752,1100000000,1140082493,40082493,
100000000,0,mcap,mcap_nocrc.yaml,,1,0,1000100,990860,0.00923908,1100000000,1039005881,-60994119,
100000000,0,mcap,mcap_zstd.yaml,,1,0,1000100,986273,0.0138256,1100000000,1045505773,-54494227,
100000000,0,sqlite3,sqlite_default.yaml,,1,0,1000100,970645,0.0294521,1100000000,1157476352,57476352,
100000000,0,sqlite3,sqlite_resilient.yaml,,1,0,1000100,984309,0.0157894,1100000000,1159696384,59696384,
0,0,mcap,mcap_default.yaml,,1,0,1000100,30560,0.969443,1100000000,605813411,-494186589,
0,0,mcap,mcap_nochunking.yaml,,1,0,1000100,812652,0.187429,1100000000,1119536597,19536597,
0,0,mcap,mcap_nocrc.yaml,,1,0,1000100,413286,0.586755,1100000000,1017129320,-82870680,
0,0,mcap,mcap_zstd.yaml,,1,0,1000100,433349,0.566694,1100000000,1020280147,-79719853,
0,0,sqlite3,sqlite_default.yaml,,1,0,1000100,165715,0.834302,1100000000,1027858432,-72141568,
0,0,sqlite3,sqlite_resilient.yaml,,1,0,1000100,199608,0.800412,1100000000,1033248768,-66751232,
100000,0,mcap,mcap_default.yaml,,1,0,1000100,215018,0.785003,1100000000,380103709,-719896291,
100000,0,mcap,mcap_nochunking.yaml,,1,0,1000100,925699,0.0743936,1100000000,1136154506,36154506,
100000,0,mcap,mcap_nocrc.yaml,,1,0,1000100,866597,0.13349,1100000000,975489819,-124510181,
100000,0,mcap,mcap_zstd.yaml,,1,0,1000100,872627,0.12746,1100000000,963666754,-136333246,
100000,0,sqlite3,sqlite_default.yaml,,1,0,1000100,985224,0.0148745,1100000000,1159856128,59856128,
100000,0,sqlite3,sqlite_resilient.yaml,,1,0,1000100,867175,0.132912,1100000000,1140858880,40858880,
1000000,0,mcap,mcap_default.yaml,,1,0,1000100,253270,0.746755,1100000000,411877730,-688122270,
1000000,0,mcap,mcap_nochunking.yaml,,1,0,1000100,910762,0.0893291,1100000000,1133958767,33958767,
1000000,0,mcap,mcap_nocrc.yaml,,1,0,1000100,889592,0.110497,1100000000,1036514011,-63485989,
1000000,0,mcap,mcap_zstd.yaml,,1,0,1000100,925882,0.0742106,1100000000,1043801423,-56198577,
1000000,0,sqlite3,sqlite_default.yaml,,1,0,1000100,961852,0.0382442,1100000000,1156079616,56079616,
1000000,0,sqlite3,sqlite_resilient.yaml,,1,0,1000100,947103,0.0529917,1100000000,1153699840,53699840,
10000000,0,mcap,mcap_default.yaml,,1,0,1000100,231171,0.768852,1100000000,421860052,-678139948,
10000000,0,mcap,mcap_nochunking.yaml,,1,0,1000100,921977,0.0781152,1100000000,1135607372,35607372,
10000000,0,mcap,mcap_nocrc.yaml,,1,0,1000100,934220,0.0658734,1100000000,1037880408,-62119592,
10000000,0,mcap,mcap_zstd.yaml,,1,0,1000100,913468,0.0866233,1100000000,1043039144,-56960856,
10000000,0,sqlite3,sqlite_default.yaml,,1,0,1000100,991290,0.00880912,1100000000,1160835072,60835072,
10000000,0,sqlite3,sqlite_resilient.yaml,,1,0,1000100,959777,0.040319,1100000000,1155756032,55756032,
100000000,0,mcap,mcap_default.yaml,,1,0,1000100,441444,0.5586,1100000000,487810726,-612189274,
100000000,0,mcap,mcap_nochunking.yaml,,1,0,1000100,893300,0.106789,1100000000,1131391853,31391853,
100000000,0,mcap,mcap_nocrc.yaml,,1,0,1000100,995537,0.00456254,1100000000,1038942420,-61057580,
100000000,0,mcap,mcap_zstd.yaml,,1,0,1000100,994793,0.00530647,1100000000,1046093350,-53906650,
100000000,0,sqlite3,sqlite_default.yaml,,1,0,1000100,990403,0.00969603,1100000000,1160679424,60679424,
100000000,0,sqlite3,sqlite_resilient.yaml,,1,0,1000100,965774,0.0343226,1100000000,1156714496,56714496,
